Tag_Name,Num_of_Questions,Avg_View_Count,Avg_Fav_Count
salesforce-lightning,561,510.06595365418895,0.9574468085106383
lwc,70,254.72857142857143,0.5
lightning,139,765.8992805755396,1.0526315789473684
salesforce-communities,141,424.17021276595744,0.9333333333333333
salesforce-chatter,105,1026.7047619047619,1.3333333333333333
salesforce-service-cloud,219,775.4109589041096,1.0434782608695652
aura-framework,35,707.2571428571429,0.75
appian,16,366.5625,2.0
outsystems,147,1156.9319727891157,1.3125
google-app-maker,1123,272.3633125556545,1.072538860103627
zoho,445,874.9550561797753,1.263157894736842
mendix,35,459.74285714285713,1.0
powerapps,702,689.8760683760684,1.0
powerapps-formula,93,421.01075268817203,0.6
powerapps-selected-items,17,310.11764705882354,0.0
powerapps-collection,25,389.48,0.6666666666666666
powerapps-canvas,80,133.325,0.9
quickbase,67,575.0149253731344,0.9
vinyl,23,289.39130434782606,1.0
