,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Term 1,list 0.0643,user 0.0961,record 0.0814,api 0.0551,work 0.0496,tabl 0.0764,data 0.0986,error 0.0824
Term 2,button 0.0486,page 0.0849,creat 0.0589,file 0.049,custom 0.0442,script 0.0437,field 0.0814,email 0.0383
Term 3,select 0.0394,creat 0.0284,call 0.0461,url 0.0276,compon 0.0428,display 0.0366,form 0.0493,im 0.0308
Term 4,show 0.0371,link 0.0233,function 0.0455,request 0.0243,im 0.0313,queri 0.0343,id 0.0329,connect 0.0297
Term 5,item 0.0364,access 0.0228,updat 0.0334,imag 0.0219,type 0.0242,datasourc 0.0336,save 0.024,sql 0.0292
Term 6,set 0.0349,open 0.0205,object 0.033,document 0.0204,event 0.0224,column 0.0271,creat 0.0223,databas 0.0262
Term 7,widget 0.0273,applic 0.0195,return 0.0285,app 0.019,find 0.0204,relat 0.0258,sharepoint 0.0202,send 0.0261
Term 8,chang 0.0256,load 0.0175,method 0.022,crm 0.0175,ive 0.0193,filter 0.0255,input 0.017,time 0.0256
Term 9,valu 0.0253,drive 0.0156,case 0.0207,respons 0.0169,make 0.0182,model 0.0251,inform 0.0163,account 0.0246
Term 10,option 0.0236,add 0.0154,make 0.02,post 0.0156,gener 0.0164,date 0.0245,store 0.016,run 0.0244
Term 11,text 0.0233,develop 0.0151,test 0.02,power 0.0145,element 0.0132,result 0.0208,contact 0.0159,server 0.0226
Term 12,add 0.0233,click 0.015,control 0.0146,upload 0.0135,html 0.0128,row 0.0204,edit 0.0139,problem 0.0206
Term 13,dropdown 0.0227,deploy 0.0131,string 0.0136,flow 0.0129,solut 0.0122,search 0.0173,collect 0.0133,work 0.019
Term 14,screen 0.0193,specif 0.0129,class 0.0123,integr 0.0127,issu 0.012,client 0.0169,submit 0.0118,cloud 0.0168
Term 15,properti 0.017,group 0.0113,insert 0.0122,applic 0.0117,label 0.0118,project 0.0151,powerapp 0.0112,messag 0.0159
Term 16,variabl 0.016,consol 0.0112,apex 0.0116,login 0.0112,implement 0.0116,number 0.015,start 0.011,ive 0.0126
Term 17,click 0.0151,tab 0.0109,trigger 0.0115,json 0.0111,line 0.0116,data 0.013,delet 0.0107,check 0.0122
Term 18,box 0.0138,manag 0.0103,exist 0.0115,rest 0.0106,advanc 0.0108,calcul 0.0129,import 0.0104,issu 0.012
Term 19,galleri 0.013,log 0.0103,refer 0.0113,servic 0.0102,requir 0.0106,bind 0.0121,add 0.0101,fail 0.011
Term 20,default 0.0123,commun 0.01,work 0.011,access 0.0102,version 0.0103,work 0.0118,entiti 0.0101,receiv 0.0103
Term 21,action 0.0114,browser 0.0088,pass 0.0104,token 0.0099,insid 0.01,base 0.0116,excel 0.0099,address 0.01
Term 22,task 0.0113,view 0.0081,add 0.0102,folder 0.0093,web 0.0093,im 0.0115,enter 0.0098,configur 0.0097
Term 23,product 0.0102,admin 0.0081,array 0.0093,lead 0.0092,read 0.0089,key 0.01,valid 0.0095,set 0.0095
Term 24,edit 0.0097,enabl 0.0077,expect 0.0091,paramet 0.009,output 0.0076,side 0.0096,multipl 0.0093,unabl 0.0095
Term 25,base 0.0092,requir 0.0076,lwc 0.0083,find 0.0089,write 0.0076,detail 0.0082,entri 0.0093,mail 0.0091
Term 26,templat 0.0088,issu 0.0076,js 0.0075,header 0.0088,librari 0.0072,server 0.0079,lookup 0.0091,fine 0.0089
Term 27,suggest 0.0088,share 0.0074,execut 0.0072,format 0.0086,achiev 0.007,order 0.0072,sourc 0.0085,wrong 0.0085
Term 28,view 0.0086,refresh 0.0073,success 0.0069,connector 0.0083,simpl 0.0068,day 0.0068,point 0.0082,miss 0.0084
Term 29,activ 0.0083,permiss 0.0073,null 0.0067,retriev 0.0083,attribut 0.0068,employe 0.0065,write 0.0081,domain 0.0082
Term 30,approv 0.0081,picker 0.0069,limit 0.0066,azur 0.0081,map 0.0068,sourc 0.0065,back 0.0081,instanc 0.0076
