,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
Term 1,tabl 0.0902,api 0.0685,record 0.0948,field 0.0988,select 0.0479,email 0.0411,access 0.0396,error 0.084,page 0.0957
Term 2,script 0.0567,file 0.0572,function 0.0443,form 0.0565,item 0.0441,time 0.0303,sql 0.0323,work 0.0505,custom 0.05
Term 3,datasourc 0.0446,url 0.0348,id 0.0413,updat 0.0377,display 0.0403,project 0.0272,user 0.0315,compon 0.0445,button 0.0428
Term 4,queri 0.0445,request 0.0293,return 0.0339,edit 0.029,column 0.0321,link 0.0271,connect 0.0312,run 0.0275,object 0.0396
Term 5,widget 0.038,document 0.0252,case 0.0291,save 0.0285,option 0.0319,applic 0.0251,databas 0.0304,im 0.026,click 0.0354
Term 6,model 0.0335,crm 0.0202,call 0.0267,creat 0.0259,properti 0.0287,send 0.0209,account 0.0266,problem 0.0202,method 0.0268
Term 7,relat 0.0305,respons 0.0201,store 0.0193,imag 0.0245,date 0.0278,ive 0.0184,app 0.0224,web 0.0188,open 0.0225
Term 8,filter 0.0296,post 0.0195,string 0.0187,im 0.0222,text 0.0276,drive 0.0184,servic 0.0197,contact 0.0169,test 0.0225
Term 9,event 0.0292,upload 0.0149,multipl 0.0187,sharepoint 0.022,valu 0.0272,deploy 0.0167,cloud 0.0195,element 0.0159,write 0.0195
Term 10,client 0.0259,integr 0.0137,number 0.0179,input 0.0211,dropdown 0.0265,idea 0.0166,set 0.0171,html 0.0151,view 0.0186
Term 11,server 0.0252,paramet 0.0135,detail 0.0157,check 0.0187,screen 0.0246,im 0.0164,power 0.0157,fine 0.0147,creat 0.0162
Term 12,bind 0.0203,json 0.0133,task 0.0128,inform 0.0175,chang 0.0233,work 0.0157,flow 0.0146,line 0.0141,action 0.016
Term 13,search 0.0198,rest 0.0132,entiti 0.0124,submit 0.013,variabl 0.0224,find 0.0141,server 0.0137,javascript 0.0139,class 0.0157
Term 14,calcul 0.0158,attach 0.0132,array 0.0124,chang 0.013,row 0.0209,import 0.0128,group 0.0133,messag 0.0136,add 0.0144
Term 15,result 0.0154,token 0.0124,assign 0.0118,put 0.0128,box 0.0168,address 0.0122,login 0.0122,consol 0.0133,trigger 0.0142
Term 16,side 0.0128,applic 0.011,product 0.0115,enter 0.0119,control 0.0165,manag 0.0121,step 0.0121,execut 0.013,delet 0.014
Term 17,load 0.0128,header 0.0109,order 0.0113,valid 0.0117,collect 0.0161,function 0.0116,log 0.0115,load 0.0122,implement 0.0135
Term 18,key 0.0124,format 0.0107,pass 0.0102,add 0.0109,show 0.0159,answer 0.0114,domain 0.0113,ive 0.0109,apex 0.0129
Term 19,refer 0.0109,lead 0.0105,result 0.0097,excel 0.0106,label 0.0152,question 0.0111,configur 0.0112,browser 0.0109,tab 0.0127
Term 20,base 0.0107,gener 0.0104,question 0.0096,requir 0.0104,galleri 0.0149,solut 0.0109,creat 0.0111,insid 0.0106,insert 0.0122
Term 21,im 0.0098,folder 0.0104,singl 0.0091,entri 0.0102,button 0.0145,templat 0.0106,mail 0.0103,read 0.0098,commun 0.0105
Term 22,suggest 0.0095,retriev 0.0104,parent 0.0082,lookup 0.0101,dynam 0.0123,develop 0.0103,instanc 0.0103,fix 0.009,gener 0.0101
Term 23,ui 0.0091,convert 0.0091,match 0.0072,automat 0.0098,default 0.0106,start 0.0102,admin 0.01,show 0.0085,remov 0.0097
Term 24,sourc 0.0088,map 0.009,correct 0.007,manual 0.0094,navig 0.0101,approv 0.01,connector 0.0099,js 0.0084,activ 0.0093
Term 25,calendar 0.0083,success 0.0089,child 0.0068,make 0.008,sourc 0.0096,build 0.0098,support 0.0097,lwc 0.008,exist 0.0079
Term 26,sort 0.008,pass 0.0088,separ 0.0067,mode 0.0078,base 0.0089,thing 0.0098,azur 0.0091,fail 0.008,section 0.0071
Term 27,employe 0.0073,chatter 0.0088,specif 0.0067,figur 0.0077,current 0.0087,advanc 0.0089,permiss 0.0089,resourc 0.0078,solut 0.007
Term 28,simpl 0.007,fetch 0.0088,featur 0.0063,fill 0.0076,style 0.0085,sheet 0.0089,share 0.0087,tag 0.0073,close 0.0063
Term 29,total 0.0064,xml 0.0087,expect 0.0062,wrong 0.0076,drop 0.0083,picker 0.0079,role 0.0087,solv 0.0073,place 0.0062
Term 30,size 0.0064,php 0.0073,perform 0.0061,statu 0.0075,day 0.008,publish 0.0079,enabl 0.0087,reason 0.0071,popup 0.0061
