,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
Term 1,compon 0.0636,record 0.0806,file 0.0695,date 0.0323,error 0.0883,item 0.0378,connect 0.0253,page 0.0894,api 0.0751,tabl 0.0817,field 0.0696
Term 2,class 0.022,field 0.0367,script 0.0369,im 0.0212,email 0.0613,column 0.0298,access 0.0251,button 0.0485,request 0.0331,datasourc 0.0477,form 0.0696
Term 3,test 0.0201,object 0.0333,function 0.0255,queri 0.0197,send 0.0364,screen 0.0297,user 0.0223,click 0.0371,url 0.0325,model 0.0357,text 0.0352
Term 4,control 0.0187,updat 0.0308,drive 0.0234,time 0.0194,server 0.0225,sharepoint 0.0279,databas 0.022,open 0.0215,crm 0.0228,record 0.0331,select 0.0282
Term 5,object 0.0187,custom 0.0243,upload 0.0189,function 0.0187,messag 0.022,variabl 0.0257,sql 0.0206,widget 0.0174,respons 0.0226,script 0.0309,input 0.0231
Term 6,element 0.0185,id 0.0228,project 0.0175,return 0.0181,work 0.0219,collect 0.0212,applic 0.0204,imag 0.0151,post 0.0203,relat 0.0267,option 0.0224
Term 7,work 0.0175,case 0.0216,import 0.0162,result 0.0166,mail 0.0158,galleri 0.0196,cloud 0.0188,link 0.0149,json 0.0151,queri 0.0256,box 0.0197
Term 8,method 0.0167,contact 0.0187,document 0.0147,number 0.0155,im 0.0156,select 0.0187,deploy 0.0167,tab 0.0147,rest 0.0142,row 0.0197,valu 0.0192
Term 9,apex 0.0161,delet 0.0178,folder 0.013,string 0.0151,address 0.0152,filter 0.0176,app 0.0152,display 0.0144,token 0.0139,filter 0.0181,dropdown 0.019
Term 10,function 0.0137,task 0.0164,im 0.0122,array 0.0142,run 0.0151,flow 0.0162,servic 0.0148,chang 0.0128,paramet 0.0129,server 0.0179,label 0.019
Term 11,javascript 0.0136,creat 0.0161,calendar 0.011,error 0.0073,receiv 0.0131,button 0.0153,group 0.0129,edit 0.011,im 0.0128,widget 0.0176,save 0.0171
Term 12,html 0.0133,account 0.0158,sheet 0.01,column 0.0073,fail 0.0131,display 0.0138,develop 0.0116,view 0.0102,access 0.0121,client 0.0165,search 0.0157
Term 13,error 0.013,insert 0.0138,ive 0.01,start 0.0071,connect 0.0113,properti 0.0138,creat 0.0109,style 0.0101,integr 0.0107,item 0.0163,bind 0.0147
Term 14,map 0.0126,trigger 0.0131,export 0.01,day 0.007,problem 0.0105,tabl 0.0136,admin 0.0107,load 0.0101,document 0.0102,field 0.0137,submit 0.0138
Term 15,page 0.0123,approv 0.0125,librari 0.01,month 0.0067,configur 0.0104,im 0.0126,account 0.0102,css 0.0079,return 0.0101,key 0.0112,enter 0.0106
Term 16,js 0.012,activ 0.0093,work 0.0095,calcul 0.0066,ive 0.0089,sourc 0.0122,custom 0.0097,work 0.0074,xml 0.0098,creat 0.0109,edit 0.0102
Term 17,web 0.0118,add 0.0092,attach 0.0091,ive 0.0065,check 0.0087,valu 0.0116,permiss 0.0095,im 0.0072,method 0.0098,calcul 0.0108,default 0.0098
Term 18,lwc 0.0114,process 0.0085,problem 0.009,write 0.0065,fine 0.0079,dropdown 0.0115,instanc 0.0094,custom 0.0071,id 0.0088,side 0.0107,properti 0.0094
Term 19,attribut 0.0107,entiti 0.0083,pdf 0.0088,expect 0.0062,test 0.0079,control 0.0113,role 0.0093,popup 0.007,applic 0.0086,load 0.0106,display 0.0092
Term 20,call 0.0094,action 0.0077,run 0.0086,sql 0.0061,domain 0.0077,powerapp 0.011,environ 0.0091,menu 0.0069,web 0.0083,project 0.0099,widget 0.0091
Term 21,tag 0.0085,parent 0.0077,picker 0.0081,search 0.0059,account 0.0076,excel 0.0108,connector 0.009,url 0.0069,custom 0.008,page 0.0098,chang 0.009
Term 22,consol 0.0083,chang 0.0072,version 0.008,valu 0.0058,set 0.0069,store 0.0099,power 0.0088,event 0.0069,pass 0.008,bind 0.0094,requir 0.0089
Term 23,dynam 0.0081,owner 0.007,server 0.0078,total 0.0057,miss 0.0063,power 0.0098,set 0.0083,browser 0.0067,header 0.0077,id 0.0092,fill 0.0083
Term 24,insid 0.0076,child 0.007,find 0.0073,format 0.0056,correct 0.0062,show 0.0094,log 0.0081,html 0.0067,error 0.0077,display 0.0089,drop 0.0082
Term 25,render 0.0075,relat 0.0069,spreadsheet 0.0071,base 0.0055,correctli 0.0059,function 0.0091,login 0.0081,action 0.0067,chatter 0.0076,select 0.0086,suggest 0.008
Term 26,event 0.0071,report 0.0068,imag 0.007,problem 0.0054,fix 0.0058,lookup 0.0083,publish 0.008,properti 0.0063,work 0.0075,event 0.0084,textbox 0.0073
Term 27,execut 0.0069,check 0.0065,chart 0.007,join 0.0052,throw 0.0058,formula 0.0077,azur 0.0077,add 0.0063,php 0.0073,databas 0.0082,question 0.0072
Term 28,creat 0.0068,event 0.0064,extens 0.0065,line 0.0052,success 0.0057,multipl 0.0075,manag 0.0076,navig 0.0062,client 0.007,sql 0.0082,checkbox 0.0067
Term 29,org 0.0067,workflow 0.0061,read 0.0065,order 0.0049,invalid 0.0057,entiti 0.0075,share 0.0075,icon 0.0061,call 0.007,im 0.0076,inform 0.0065
Term 30,show 0.0066,user 0.0059,csv 0.006,run 0.0047,notif 0.0055,imag 0.0071,secur 0.007,color 0.0058,lead 0.0066,sourc 0.0069,check 0.0065
